periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202511;P05677;585124;1000,000;29,121098100;3,812015908;M13;A1;4;1;N_T;sin_segundo_insumo;1,50;0,00;X;44,00
202511;P00049;590120;600,000;12,414720680;6,374138064;M05;D4;5;1;V_T;sin_segundo_insumo;0,50;0,00;X;12,00
202511;P00049;590118;591,000;13,654092110;6,471206156;M05;D4;5;1;V_T;sin_segundo_insumo;0,50;0,00;X;13,00
202511;P08349;588355;1454,000;38,561823090;2,621744091;M13;A1;5;1;N_T;sin_segundo_insumo;1,50;0,00;Y;108,00
202511;P07619;587747;2712,000;31,651341320;1,892241527;M17;A1;2;1;B_T;sin_segundo_insumo;1,00;0,00;Y;133,00
202511;P06228;588359;1839,000;32,588760020;2,763832451;M17;A1;4;1;N_T;sin_segundo_insumo;2,00;0,00;X;113,00
202511;P07663;588351;1600,000;37,125230770;2,382509942;M17;A1;4;1;N_T;sin_segundo_insumo;1,50;0,00;Y;112,00
202511;P00351;585127;1002,000;40,475014250;3,804407094;M09;A1;3;1;N_T;sin_segundo_insumo;1,50;0,00;X;62,00
202511;P08409;584967;375,000;31,255804630;4,085778756;M16;A1;7;2;B_T;N_T;0,30;0,30;Z;19,00
202511;P08074;590961;1236,000;91,719692970;4,498876956;M16;A1;5;2;A_T;R_T;1,00;0,50;X;184,00
202511;P07286;585011;4100,000;22,263954920;7,509891250;M02;B2;5;1;B_T;sin_segundo_insumo;6,00;0,00;Y;160,00
202511;P08431;590189;1256,000;27,280511260;2,023363008;M13;A1;5;1;N_T;sin_segundo_insumo;1,00;0,00;Y;66,00
202511;P08299;572320;1500,000;30,476832920;16,346430470;M16;A1;5;2;N_T;N_O;5,00;2,00;Y;73,00
202512;P05373;591746;2500,000;42,371459660;1,016537575;M17;A1;2;1;N_T;sin_segundo_insumo;1,00;0,00;X;157,00
202512;P06943;588029;6831,000;29,366551450;8,540806626;M14;A1;5;2;B_T;R_T;14,00;7,00;X;368,00
202512;P06943;591915;3278,000;29,334009480;4,302420620;M16;A1;5;2;B_T;R_T;3,00;2,00;X;147,00
202512;P06833;588703;1225,000;19,348843160;2,094595518;M16;A1;3;1;B_T;sin_segundo_insumo;0,50;0,00;Y;41,00
202512;P06833;589379;4725,000;17,492205990;3,258259696;M09;A1;3;1;B_T;sin_segundo_insumo;3,00;0,00;Y;149,00
202512;P06833;588616;6825,000;15,758932350;3,759530418;M09;A1;3;1;B_T;sin_segundo_insumo;5,00;0,00;Y;193,00
202512;P06833;594281;9450,000;28,534081860;3,801302978;M08;A1;3;1;B_T;sin_segundo_insumo;7,00;0,00;Y;380,00
202512;P05747;589603;5625,000;29,072375830;6,842345361;M09;A1;7;1;B_T;sin_segundo_insumo;7,50;0,00;X;250,00
202512;P07863;585110;2944,000;44,349847630;2,377778079;M09;A1;7;2;N_O;N_T;1,00;0,40;Y;184,00
202512;P05269;591744;3236,000;8,756984058;1,979510587;M17;A1;2;1;R_T;sin_segundo_insumo;1,00;0,00;X;42,00
202512;P00194;576832;10988,000;4,876357489;0,272280719;M12;D4;3;1;N_O;sin_segundo_insumo;0,50;0,00;X;130,00
202512;P00194;570551;8925,000;7,950082853;1,423722095;M12;D4;3;1;N_T;sin_segundo_insumo;5,00;0,00;X;124,00
202512;P00194;587760;13300,000;6,186822378;1,337549442;M12;D4;3;1;N_T;sin_segundo_insumo;7,00;0,00;X;170,00
202512;P00194;587644;10500,000;5,360769097;1,936262049;M12;D4;3;1;N_T;sin_segundo_insumo;8,00;0,00;X;144,00
202512;P00194;583853;3150,000;5,335950722;0,806775853;M12;D4;3;1;N_T;sin_segundo_insumo;1,00;0,00;X;43,00
202512;P00194;589296;9450,000;8,960560125;0,080677585;M12;D4;3;1;N_T;sin_segundo_insumo;0,30;0,00;X;145,00
202512;P00194;583850;12643,000;6,349483888;2,366384991;M12;D4;3;1;N_O;sin_segundo_insumo;5,00;0,00;X;185,00
202512;P06976;596961;300,000;75,690406610;5,674692720;M02;B2;5;2;B_T;N_T;0,50;0,50;Y;32,00
202512;P06976;582307;1500,000;33,142508450;2,269877088;M15;A1;5;2;B_T;N_T;1,00;1,00;Y;76,00
202512;P07878;588326;1036,000;39,003938150;12,596655140;M02;B2;5;2;A_T;B_T;2,00;2,00;X;72,00
202512;P07878;586315;3300,000;12,950750320;1,377416193;M02;B2;5;2;B_T;A_T;1,00;0,50;X;70,10
202512;P07878;586125;1300,000;22,101427630;4,257900308;M13;A1;5;2;B_T;A_T;1,00;0,75;X;46,00
202512;P07878;586426;2965,000;8,470756880;3,931476015;M15;A1;5;2;B_T;A_T;3,00;1,00;X;44,10
202512;P08372;593116;5054,000;40,741876600;8,123085114;M14;A1;5;1;B_T;sin_segundo_insumo;8,00;0,00;Y;307,00
202512;P07576;591740;1675,000;28,898809410;4,595605093;M02;B2;5;1;B_T;sin_segundo_insumo;3,00;0,00;X;74,00
202512;P07624;594852;1400,000;43,346069850;4,274029350;M15;A1;5;1;N_O;sin_segundo_insumo;1,00;0,00;Y;84,00
202512;P07825;593184;1955,000;34,797626320;7,088060096;M08;A1;5;1;A_T;sin_segundo_insumo;1,75;0,00;Y;104,00
202512;P07825;593182;2769,000;32,732771410;4,289477631;M08;A1;5;1;A_T;sin_segundo_insumo;1,50;0,00;Y;135,00
202512;P08200;590116;4100,000;29,356008770;1,859519955;M08;A1;5;1;N_T;sin_segundo_insumo;3,00;0,00;Y;184,00
202512;P06467;583806;700,000;97,184799210;14,531699790;M04;C3;3;1;N_O;sin_segundo_insumo;1,70;0,00;X;104,00
202512;P07104;589762;3659,000;29,664464260;0,694546034;M13;A1;4;1;N_T;sin_segundo_insumo;1,00;0,00;X;164,00
202512;P07104;589760;3914,000;28,746380580;1,298591691;M13;A1;4;1;N_T;sin_segundo_insumo;2,00;0,00;X;170,00
